open_time,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,MACD,MACDSignal,MACDHist,RSI
1710763200000,0.23,5.32,0.23,3.883,8388217.2,1710763259999,35452067.2875,75026,3894957.1,16608710.3667,0,,,,
1710763260000,3.886,4.156,3.8,4.061,2710729.2,1710763319999,10825112.9148,28960,1416957.4,5669283.8253,0,,,,
1710763320000,4.058,4.2,4.026,4.17,1764255.3,1710763379999,7263637.5495,18836,1096346.4,4521728.7191,0,,,,
1710763380000,4.172,4.2,4.09,4.165,991288.1,1710763439999,4115275.1702,12360,442349.5,1839746.9606,0,,,,
1710763440000,4.163,4.284,4.16,4.266,1268865.9,1710763499999,5366620.0352,13858,812579.7,3436870.4936,0,,,,
1710763500000,4.263,4.28,4.135,4.164,867486.6,1710763559999,3629625.7518,12176,368351.6,1542031.2011,0,,,,
1710763560000,4.162,4.168,4.015,4.022,790456.9,1710763619999,3229567.9288,11291,282530.0,1152268.2904,0,,,,
1710763620000,4.022,4.116,4.02,4.035,598465.5,1710763679999,2432880.636,9062,318149.4,1295166.2777,0,,,,
1710763680000,4.033,4.071,3.934,3.939,790377.8,1710763739999,3168764.5166,10111,202086.4,812551.8825,0,,,,
1710763740000,3.939,3.962,3.916,3.942,581340.6,1710763799999,2288928.776,8847,235267.4,926906.5765,0,,,,
1710763800000,3.941,4.05,3.941,4.006,671221.1,1710763859999,2691519.2303,8206,370230.5,1483728.8598,0,,,,
1710763860000,4.004,4.02,3.95,3.982,398136.1,1710763919999,1584368.3294,6337,174896.5,696295.0177,0,,,,
1710763920000,3.986,4.04,3.973,4.001,434378.7,1710763979999,1738228.3681,5803,242222.7,969807.688,0,,,,
1710763980000,4.002,4.068,4.0,4.035,400530.5,1710764039999,1613712.0912,5300,226513.5,913221.9032,0,,,,
1710764040000,4.035,4.037,3.93,3.962,418938.9,1710764099999,1664174.0231,6058,163625.2,649684.6355,0,,,,54.1017653167186
1710764100000,3.967,3.983,3.915,3.924,307619.6,1710764159999,1214924.5418,4635,121586.7,480922.2968,0,,,,51.896406405639404
1710764160000,3.922,3.93,3.9,3.925,387759.4,1710764219999,1515997.4172,4598,153012.2,598599.1449,0,,,,51.95191305730046
1710764220000,3.926,3.946,3.718,3.745,748563.1,1710764279999,2878902.6078,8624,206799.9,796751.4422,0,,,,42.45551679128022
1710764280000,3.75,3.831,3.717,3.723,622743.4,1710764339999,2346816.7582,7817,335838.3,1266698.6447,0,,,,41.45804423922717
1710764340000,3.727,3.77,3.654,3.688,590269.7,1710764399999,2187726.507,6791,239401.1,888259.0846,0,,,,39.85381378618856
1710764400000,3.687,3.799,3.687,3.787,477289.1,1710764459999,1784998.9175,5543,313597.1,1172950.6264,0,,,,46.19580867408467
1710764460000,3.786,3.829,3.75,3.777,341230.0,1710764519999,1291716.8634,4264,146242.0,554369.3493,0,,,,45.67194678365586
1710764520000,3.779,3.818,3.761,3.774,273664.4,1710764579999,1037791.6149,3278,124014.9,470604.5034,0,,,,45.50522917364091
1710764580000,3.771,3.795,3.768,3.768,201937.5,1710764639999,762989.1486,2493,74197.7,280554.6085,0,,,,45.15024682397808
1710764640000,3.768,3.818,3.735,3.808,237381.4,1710764699999,896271.2233,3653,129157.6,488242.7886,0,,,,48.05926838880046
1710764700000,3.804,3.81,3.747,3.804,227340.6,1710764759999,859740.0255,3379,124718.7,472267.6786,0,,,,47.78633249901244
1710764760000,3.805,3.88,3.78,3.876,318216.4,1710764819999,1221383.0243,4755,203279.7,780748.4084,0,,,,52.96439636097793
1710764820000,3.879,3.89,3.82,3.826,180066.5,1710764879999,697391.0439,2965,96703.6,374878.7079,0,,,,49.30745511793679
1710764880000,3.83,3.839,3.78,3.809,189419.6,1710764939999,720117.5516,2531,73657.9,280161.5346,0,,,,48.09164108099237
1710764940000,3.81,3.835,3.8,3.814,118674.3,1710764999999,452837.0207,1739,53468.9,204263.4343,0,,,,48.49391223826889
1710765000000,3.812,3.814,3.75,3.772,227714.6,1710765059999,860473.69,2920,83016.4,313179.6833,0,,,,45.316989749709116
1710765060000,3.77,3.812,3.748,3.763,202283.1,1710765119999,763643.4347,2417,102866.3,388884.7078,0,,,,44.64208609508671
1710765120000,3.763,3.8,3.763,3.798,85702.3,1710765179999,323650.7219,1807,47403.3,179092.0003,0,,,,47.89216548681311
1710765180000,3.797,3.8,3.763,3.777,124560.0,1710765239999,470658.1412,1664,55862.9,211398.6753,0,-0.07558830125446248,-0.0964689444546672,0.020880643200204718,46.14173795256268
1710765240000,3.777,3.787,3.712,3.719,182925.1,1710765299999,685347.0068,2127,52440.0,196394.4296,0,-0.07630562005550123,-0.092436279574834,0.016130659519332763,41.61746623557176
1710765300000,3.718,3.745,3.703,3.729,154073.9,1710765359999,572770.7351,2257,61313.7,228151.3567,0,-0.07520032145169431,-0.08898908795020606,0.013788766498511754,42.66136591479952
1710765360000,3.731,3.744,3.706,3.711,153275.5,1710765419999,570689.0017,2511,71314.8,265618.5227,0,-0.07491326047775182,-0.08617392245571522,0.011260661977963396,41.232241755425584
1710765420000,3.71,3.715,3.676,3.693,275981.3,1710765479999,1018346.7606,2859,64995.9,239636.8761,0,-0.0752705402220677,-0.08399324600898571,0.008722705786918014,39.79653689925806
1710765480000,3.693,3.698,3.61,3.625,242997.7,1710765539999,888586.835,3239,65092.6,238360.0566,0,-0.08011717774001248,-0.08321803235519107,0.0031008546151785887,34.85846338033989
1710765540000,3.625,3.642,3.55,3.575,459545.0,1710765599999,1647581.6512,4988,183994.6,659269.1253,0,-0.08698998858467011,-0.08397242360108688,-0.003017564983583229,31.739840994946732
1710765600000,3.576,3.602,3.563,3.597,228751.8,1710765659999,820301.8536,3200,135296.0,485490.2251,0,-0.08962834478963355,-0.08510360783879621,-0.004524736950837341,34.51589437836992
1710765660000,3.599,3.641,3.59,3.639,218486.2,1710765719999,788850.756,3099,120958.1,437040.4035,0,-0.08732359999534944,-0.08554760627010685,-0.0017759937252425917,39.568712412629885
1710765720000,3.639,3.66,3.615,3.656,125489.9,1710765779999,456559.7542,2235,63594.6,231539.9717,0,-0.08316662216512327,-0.08507140944911014,0.0019047872839868668,41.5351357425654
1710765780000,3.66,3.689,3.648,3.666,137072.8,1710765839999,503228.4272,2233,80438.8,295485.6671,0,-0.0781642421310127,-0.08368997598549065,0.005525733854477952,42.71595814990757
1710765840000,3.666,3.67,3.616,3.62,133086.7,1710765899999,486166.134,2242,46249.2,169011.277,0,-0.07702375358997449,-0.08235673150638742,0.005332977916412934,38.8308016978516
1710765900000,3.621,3.66,3.61,3.627,112896.1,1710765959999,410652.8158,1803,59303.4,215663.5081,0,-0.07469404030466009,-0.08082419326604195,0.006130152961381863,39.729161855061
1710765960000,3.628,3.649,3.6,3.605,122182.1,1710766019999,443434.8888,1795,51645.1,187588.9748,0,-0.07377253798363403,-0.07941386220956037,0.005641324225926336,37.8478192979413
1710766020000,3.604,3.63,3.56,3.624,177539.1,1710766079999,638133.6768,2534,85939.0,309108.218,0,-0.07069418103144942,-0.07766992597393818,0.00697574494248876,40.46969551395294
1710766080000,3.624,3.658,3.576,3.628,244472.1,1710766139999,887187.2742,2616,130334.0,473605.7852,0,-0.06715764289476445,-0.07556746935810343,0.008409826463338987,41.033659102634886
1710766140000,3.626,3.65,3.612,3.646,115588.2,1710766199999,419632.3851,1745,51583.7,187414.0709,0,-0.062185624207677925,-0.07289110032801834,0.01070547612034041,43.621990594827615
1710766200000,3.646,3.733,3.62,3.702,453121.3,1710766259999,1669323.4276,3769,245216.2,903817.1644,0,-0.053114263421981,-0.06893573294681087,0.015821469524829865,50.85030087138187
1710766260000,3.702,3.75,3.7,3.75,212005.6,1710766319999,790476.8266,2181,125876.1,469681.4822,0,-0.04157272134290846,-0.06346313062603039,0.021890409283121928,56.05155909345962
1710766320000,3.75,3.759,3.693,3.7,211421.3,1710766379999,788693.7837,2337,82711.9,308529.4456,0,-0.036045043402404886,-0.05797951318130529,0.0219344697789004,50.10357599850531
